trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.9, 'e': 0.5898995047203758}",25,18,5.940902239802563,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.5880913846964507}",30,0,-166.77725938565726,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
154,False,"{'a': 0.9, 'e': 0.5862915651405106}",20,2,-23.506844426542827,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.9, 'e': 0.584499995324}",25,0,-51.60539101593819,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
156,False,"{'a': 0.9, 'e': 0.5827166249053085}",20,0,-72.1305980323218,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
157,False,"{'a': 0.9, 'e': 0.5809414039262343}",25,13,-58.55259759144698,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
158,False,"{'a': 0.9, 'e': 0.5791742828084855}",25,6,-60.01931579752206,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
159,False,"{'a': 0.9, 'e': 0.5774152123502184}",20,0,-134.38300392832957,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
160,False,"{'a': 0.9, 'e': 0.5756641437226128}",30,15,-60.660443192524994,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
161,False,"{'a': 0.9, 'e': 0.573921028466483}",20,1,-100.67379631695833,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 2}",1
162,False,"{'a': 0.9, 'e': 0.5721858184889258}",20,0,-46.94050026935571,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.9, 'e': 0.570458466060003}",20,0,-105.52096871021345,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
164,False,"{'a': 0.9, 'e': 0.5687389238094588}",25,0,-29.61347874243844,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
165,False,"{'a': 0.9, 'e': 0.5670271447234722}",20,6,5.688049450452926,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.5653230821414438}",25,14,-2.7727171474836503,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.5636266897528158}",20,10,-16.20767938621391,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.5619379215939256}",30,10,-72.54952861933666,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
169,False,"{'a': 0.9, 'e': 0.5602567320448921}",25,0,-59.61941615473026,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
170,False,"{'a': 0.9, 'e': 0.5585830758265353}",25,0,-69.21077467281181,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
171,False,"{'a': 0.9, 'e': 0.5569169079973267}",20,0,-18.06844947742762,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
172,False,"{'a': 0.9, 'e': 0.5552581839503732}",25,13,-42.96936502474951,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
173,False,"{'a': 0.9, 'e': 0.5536068594104308}",20,0,-133.16359322682956,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
174,False,"{'a': 0.9, 'e': 0.5519628904309505}",30,0,-145.80672527874148,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
175,False,"{'a': 0.9, 'e': 0.5503262333911542}",20,0,-55.34110016970578,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
176,False,"{'a': 0.9, 'e': 0.5486968449931412}",20,0,-30.95905232993376,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
177,False,"{'a': 0.9, 'e': 0.5470746822590247}",30,0,-171.06370262790867,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
178,False,"{'a': 0.9, 'e': 0.5454597025280966}",20,0,-60.97581761992497,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
179,False,"{'a': 0.9, 'e': 0.543851863454025}",20,7,-72.67446157493266,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
180,False,"{'a': 0.9, 'e': 0.5422511230020757}",20,0,-48.57805955166091,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.9, 'e': 0.5406574394463669}",20,0,-86.20084684013565,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
